epsilon,reference,model,ref_T,model_T,delta_f1_mean,delta_f1_lo,delta_f1_hi,p_ref_better
0.7,gpt-4o,llava-phi3:3.8b,0.6,0.0,0.23701462259063702,0.20508465905236561,0.26800099470675653,1.0
0.7,gpt-4o,llava:13b,0.6,0.0,0.19225734031419175,0.15898214445535003,0.22388904093084294,1.0
0.7,gpt-4o,llava:7b,0.6,0.4,0.2352322884888937,0.20335563580656532,0.2664850381036742,1.0
0.7,gpt-4o,minicpm-v:8b,0.6,0.0,0.12337040408310415,0.09312867687075484,0.1547549119131758,1.0
0.7,gpt-4o,ministral-3:14b,0.6,0.8,0.25452244374787647,0.22452710725523048,0.2846373910094902,1.0
0.7,gpt-4o,ministral-3:3b,0.6,0.6,0.23537863025545172,0.20777628106809526,0.26398091129044143,1.0
0.7,gpt-4o,ministral-3:8b,0.6,0.2,0.2243492151834492,0.1956203563867325,0.25305780690805796,1.0
0.7,gpt-4o,mistral-small3.1:24b,0.6,0.2,0.07100062135487757,0.039239570112957756,0.10212155503945805,1.0
0.7,gpt-4o,moondream:1.8b,0.6,0.8,0.23159129584533197,0.1999642841986074,0.26464635149092613,1.0
0.7,gpt-4o,qwen2.5vl:3b,0.6,0.0,0.06488907008592179,0.023604838755077844,0.10564792586404449,0.9995
0.7,gpt-4o,qwen2.5vl:7b,0.6,0.0,-0.04869020236048901,-0.08310551230502335,-0.013854947908077864,0.002
0.7,gpt-4o,qwen3-vl:2b,0.6,0.8,0.1474881531140098,0.11568959430367307,0.18167526011311125,1.0
0.7,gpt-4o,qwen3-vl:4b,0.6,0.6,0.11953302954633581,0.0798791120843307,0.15925027239270337,1.0
0.7,gpt-4o,qwen3-vl:8b,0.6,0.2,0.11305780953073154,0.07933786732839078,0.14666382043133802,1.0
0.8,qwen2.5vl:7b,bakllava:7b,0.4,1.0,0.23563184000321877,0.2001242950926193,0.27036242482441053,1.0
0.8,qwen2.5vl:7b,gemma3:12b,0.4,0.4,0.17288901189982112,0.14504801694026306,0.2017622810373462,1.0
0.8,qwen2.5vl:7b,gemma3:4b,0.4,0.6,0.17557303016848674,0.14550801221867188,0.207671260068862,1.0
0.8,qwen2.5vl:7b,gpt-4.1,0.4,0.2,0.10968656844719461,0.07611674600219205,0.14454693862043203,1.0
0.8,qwen2.5vl:7b,gpt-4o,0.4,0.4,0.07328490813700742,0.04096741430462819,0.10442741072957852,1.0
0.8,qwen2.5vl:7b,gpt-5.2,0.4,0.0,0.21902318194897447,0.18696500476948588,0.2501037974133838,1.0
0.8,qwen2.5vl:7b,granite3.2-vision:2b,0.4,0.2,0.24754968313042885,0.21491003610146955,0.2799781102248477,1.0
0.8,qwen2.5vl:7b,llama3.2-vision:11b,0.4,0.0,0.049776711108639626,0.019097803210430076,0.08047846682658943,0.997
0.8,qwen2.5vl:7b,llava-llama3:8b,0.4,0.0,0.21565618081677343,0.17838771851476376,0.24925787425625393,1.0
0.8,qwen2.5vl:7b,llava-phi3:3.8b,0.4,0.0,0.2160143743218111,0.1839917014125433,0.24873128389943724,1.0
0.8,qwen2.5vl:7b,llava:13b,0.4,0.0,0.20255695392998685,0.17183776044820503,0.23253936696728172,1.0
0.8,qwen2.5vl:7b,llava:7b,0.4,0.4,0.22986966405378534,0.19505334178193512,0.2617596496339019,1.0
0.8,qwen2.5vl:7b,minicpm-v:8b,0.4,0.0,0.15812611087828235,0.12798695564385135,0.18798491678763526,1.0
0.8,qwen2.5vl:7b,ministral-3:14b,0.4,0.2,0.26930469269730484,0.2388245327699028,0.2992651613379699,1.0
0.8,qwen2.5vl:7b,ministral-3:3b,0.4,0.2,0.2554271790825546,0.22313374718775458,0.2862921282647585,1.0
0.8,qwen2.5vl:7b,ministral-3:8b,0.4,0.4,0.2609815621634535,0.23161902903220663,0.29108639927579033,1.0
0.8,qwen2.5vl:7b,mistral-small3.1:24b,0.4,0.0,0.1278095250779586,0.09648123321769606,0.15741053671295366,1.0
0.8,qwen2.5vl:7b,moondream:1.8b,0.4,0.8,0.21733010201028724,0.18205183390678334,0.2523892630576376,1.0
0.8,qwen2.5vl:7b,qwen2.5vl:3b,0.4,0.0,0.09612714215737915,0.06348027050807271,0.1320021710591102,1.0
0.8,qwen2.5vl:7b,qwen3-vl:2b,0.4,0.8,0.17660160963490973,0.1481300389938932,0.2055543498585959,1.0
0.8,qwen2.5vl:7b,qwen3-vl:4b,0.4,0.8,0.17230458438297233,0.14034151111074653,0.2056543799154742,1.0
0.8,qwen2.5vl:7b,qwen3-vl:8b,0.4,0.6,0.17844692619020694,0.1483887369617131,0.2074232831432745,1.0
