model,temperature,run,epsilon,f1_mean,f1_lo,f1_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi
gemma4:12b,0.4,r1,0.7,0.2160018078555663,0.18886980560102465,0.24376731301939056,56.14584960438114,48.91495749749985,64.12959993448871,127.49490492570672,122.44269085503053,133.22573661848713
gemma4:12b,0.4,r1,0.8,0.10945840760874546,0.08997692538089871,0.13038671990535344,42.265844617405556,34.411827480670105,50.202343750000004,141.44062719060162,136.13191314945664,147.00120551954078
gemma4:12b,0.4,r1,0.9,0.05708760458171578,0.04225975774064926,0.0727876750823409,48.412346670810514,36.14464076246335,62.04483032873806,146.47653670798877,141.43094814469742,151.9812081710119
gemma4:12b,0.6,r1,0.5,0.5152456966776672,0.48432437273900236,0.54429683203869,49.83014386552287,44.58031454068347,55.69785566349556,102.13317542589847,96.52983299869273,107.91639456327628
gemma4:12b,0.6,r1,0.6,0.34030480534713764,0.31059951240358413,0.36932194505257315,56.68125213940286,49.79737291541089,64.56707564575645,112.4355326185473,106.7918853820598,118.35270062198107
gemma4:12b,0.6,r1,0.7,0.22204291610438093,0.19483961703705893,0.24986344537815122,54.951349085287504,45.81680562793122,65.67644768234491,124.68569351200387,119.35721383868399,130.45309008188494
gemma4:12b,0.6,r1,0.8,0.11065496265961589,0.08973329502938267,0.13078758486326256,42.428876515478315,33.30986486486486,53.29986145320196,140.4177380994571,134.98965924209668,145.91482468220624
gemma4:12b,0.6,r1,0.9,0.069169960698702,0.05272196862771015,0.08646510377437869,38.87501211772027,30.32516913319239,48.253746031746026,144.3346889035751,139.08226935052627,150.1277993120975
gemma4:12b,0.8,r1,0.5,0.5254448298587975,0.49455207962090775,0.5557425528649662,48.843049310748185,43.81349223468507,54.31484483734304,101.25416901595439,95.7176626075903,107.03879958746562
gemma4:12b,0.8,r1,0.6,0.3452554492622095,0.3157848077640911,0.3738674981876886,54.61610019918813,47.87879901960784,62.28165676544588,111.19187290953619,105.95194025450031,116.63708825545434
gemma4:12b,0.8,r1,0.7,0.22262581411324056,0.19370338780938368,0.25100807785353196,53.676043065894746,44.95858508518926,63.958730667008226,124.69702763519675,119.28637978142076,130.64800962165688
gemma4:12b,0.8,r1,0.8,0.11365757223797374,0.09219963013111586,0.13475764783072253,45.73024530891397,37.970032894736846,53.85670509708738,140.95571680089057,135.47475153218488,146.78186482597891
gemma4:12b,0.8,r1,0.9,0.06032714787833922,0.04473964284525697,0.07593645248296223,43.72443238107783,31.81237980769231,57.115593645484914,145.56754716933506,140.34836044103312,151.11708502243124
gemma4:12b,1.0,r1,0.5,0.5247601207676479,0.49629421523631917,0.5515719801434087,51.97281984954503,46.86481700118063,57.96637984981226,101.37269502567713,95.95792586666195,106.87588391599436
gemma4:12b,1.0,r1,0.6,0.3371180079347989,0.3091085671498349,0.3635266410912191,59.161819363040074,52.32416122064687,67.19361654804268,114.297681603015,109.00153260331601,119.96122638855397
gemma4:12b,1.0,r1,0.7,0.22151798243368404,0.19769979533360618,0.2474720046706257,60.193492280490496,51.03754582111437,70.87288884101677,126.70039987464763,121.5097021353002,132.30000900131463
gemma4:12b,1.0,r1,0.8,0.10954247812760332,0.08996212585993929,0.1294889727867149,51.08657417057829,42.975525631939526,59.94090909090908,141.7996269920143,136.55256555143913,147.27859081468407
gemma4:12b,1.0,r1,0.9,0.0565745394657841,0.04212685454569995,0.07091727474619287,48.825914662834805,37.45454545454545,60.64386904761904,145.8248736530915,140.73248289140162,151.16281050170798
gemma4:e4b,0.0,r1,0.5,0.3713539845395288,0.34065761935140554,0.4014137771037493,63.58284295634859,55.74418258582503,72.86995979799322,123.05796279779727,117.79559212423416,128.48643095648427
gemma4:e4b,0.0,r1,0.6,0.23325804166942596,0.20155710362781812,0.2641290561548045,64.95127176982496,55.080396065922386,76.99807291666667,131.47070632559453,126.1708653062808,137.0102067600487
